"","Kingdom","Phylum","Class","Order","Family","Genus","Species","latrineAbun","controlAbun"
"ASV_21069","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,2.078,0
"ASV_21070","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0.276,0
"ASV_21071","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0.728
"ASV_21072","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,1.82,0
"ASV_21073","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0.93
"ASV_21074","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,57.366,1.948
"ASV_21075","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,5.78,0
"ASV_21076","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,13.666,0
"ASV_21077","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21078","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,1.322
"ASV_21079","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21080","Bacteria","Bacteroidota","Bacteroidia","Incertae_Sedis","Incertae_Sedis","Incertae_Sedis",NA,0,5.172
"ASV_21081","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,1.33,0
"ASV_21082","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0,0
"ASV_21083","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,2.002,6.066
"ASV_21084","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0,0.772
"ASV_21085","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0,0.494
"ASV_21086","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0.64,0
"ASV_21087","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0.252,4.598
"ASV_21088","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","AKYH767","Incertae_Sedis",NA,0,0
"ASV_21089","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Incertae_Sedis","Incertae_Sedis",NA,0,0
"ASV_21090","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,9.644,0
"ASV_21091","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,10.364,0
"ASV_21092","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21093","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,3.892,0
"ASV_21094","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,2.746,0
"ASV_21095","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,4.774,0
"ASV_21096","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21097","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,6.074,2.452
"ASV_21098","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.842,3.286
"ASV_21099","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,6.484,0
"ASV_21100","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,1.688,0
"ASV_21101","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,4.442
"ASV_21102","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,17.016
"ASV_21103","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,2.96
"ASV_21104","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,5.69
"ASV_21105","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,3.618,3.74
"ASV_21106","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,2.244,0
"ASV_21107","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
"ASV_21108","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,5.248,0
"ASV_21109","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","37-13","Incertae_Sedis",NA,0,0
