"Species","species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison","Position","Kingdom","Phylum","Class","Order","Family","Genus","Species.y"
"ASV_24939","ASV_24939",0.00415273654221023,0.956604948268106,0.00537350763848204,0.772816718910133,31.7366666666667,2.89466666666667,23997,1,0.024,"control_1931-1962_latrine_1931-1962",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_22403","ASV_22403",0.00381970310391363,0.956604948268106,0.00469843799551031,0.812972972626993,28.304,0,20724,1,0.046,"control_1931-1962_latrine_1931-1962",22403,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_1044","ASV_1044",0.00335852451641925,0.956604948268106,0.0012668635377629,2.65105468450842,28.33,3.44333333333333,11604,0.682759654588916,0.012,"control_1931-1962_latrine_1931-1962",1044,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_5988","ASV_5988",0.0092208726945569,0.962804912280702,0.0132632101941261,0.695221787153807,68.3266666666667,0,6314,0.996003383277189,0.001,"control_1931-1962_latrine_1984-2024",5988,"Bacteria","Acidobacteriota","Blastocatellia","Pyrinomonadales","Pyrinomonadaceae","Incertae_Sedis",NA
"ASV_21602","ASV_21602",0.00534661268556005,0.962804912280702,0.00248790493413704,2.14904219698997,0,39.6184,19116,1,0.012,"control_1931-1962_latrine_1984-2024",21602,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","Hassallia",NA
"ASV_24608","ASV_24608",0.00482316689158794,0.962804912280702,0.00128120742381542,3.76454803643318,36.2686666666667,0.529,23231,1,0.029,"control_1931-1962_latrine_1984-2024",24608,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Incertae_Sedis",NA
"ASV_24939","ASV_24939",0.00425907332433648,0.962804912280702,0.00531015914539888,0.802061333326868,31.7366666666667,0.5308,23675,1,0.007,"control_1931-1962_latrine_1984-2024",24939,"Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Rhodoplanes",NA
"ASV_21326","ASV_21326",0.00416744939271255,0.962804912280702,0.00308712148829688,1.34994667638159,0,30.8808,18704,1,0.02,"control_1931-1962_latrine_1984-2024",21326,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8",NA
"ASV_22403","ASV_22403",0.00381970310391363,0.962804912280702,0.00450545718630349,0.847794784406221,28.304,0,20182,1,0.022,"control_1931-1962_latrine_1984-2024",22403,"Bacteria","Actinomycetota","Acidimicrobiia","Acidimicrobiales","Acidimicrobiaceae","Incertae_Sedis",NA
"ASV_22643","ASV_22643",0.00359379217273954,0.962804912280702,0.00156214354930198,2.30055181186477,2.402,29.032,20511,1,0.012,"control_1931-1962_latrine_1984-2024",22643,"Bacteria","Actinomycetota","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASV_1044","ASV_1044",0.00343468286099865,0.962804912280702,0.00132345915097216,2.59523148748163,28.33,2.879,21083,0.671503140948409,0.002,"control_1931-1962_latrine_1984-2024",1044,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Incertae_Sedis",NA
"ASV_6858","ASV_6858",0.00343101214574899,0.962804912280702,0.00243650180478616,1.40817139515729,0.93,26.3398,369,1,0.048,"control_1931-1962_latrine_1984-2024",6858,"Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae","Incertae_Sedis",NA
"ASV_11521","ASV_11521",0.00323438596491228,0.962804912280702,0.00237062324294528,1.36436102807035,0,23.9668,6385,1,0.039,"control_1931-1962_latrine_1984-2024",11521,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","67-14","Incertae_Sedis",NA
"ASV_11958","ASV_11958",0.0189128205128205,0.915599730094467,0.0142886443219867,1.32362595685291,26.514,156.745,7921,1,0.037,"control_1931-1962_latrine_LIA",11958,"Bacteria","Actinomycetota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Incertae_Sedis",NA
